timestamp,label,rssi,noise_floor,channel,fft_gain,agc_gain,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,amp_52
828237644,2,-52,-98,40,-35,54,13.0,14.317821502685547,15.231546401977539,16.401220321655273,17.804492950439453,19.235383987426758,19.92485809326172,20.09975242614746,21.0237979888916,20.615528106689453,21.954498291015625,22.022716522216797,21.931713104248047,23.853721618652344,22.847320556640625,23.76972770690918,23.194828033447266,25.019990921020508,25.49509620666504,25.298221588134766,25.942243576049805,28.017850875854492,28.284271240234375,28.319604873657227,28.017850875854492,29.966646194458008,0.0,31.048351287841797,29.614187240600586,28.284271240234375,30.01666259765625,28.0,27.073974609375,25.317975997924805,24.738632202148438,24.0416316986084,23.25940704345703,23.323806762695312,21.63330841064453,20.615528106689453,18.384775161743164,18.384775161743164,16.401220321655273,16.401220321655273,14.764823913574219,12.529964447021484,12.083045959472656,11.401754379272461,10.198039054870605,10.04987621307373,9.0,7.0,6.082762241363525
828246520,2,-53,-98,40,-37,55,11.70469856262207,12.529964447021484,12.806248664855957,14.142135620117188,16.124515533447266,17.464248657226562,17.720043182373047,18.11077117919922,19.0,19.10497283935547,20.615528106689453,20.615528106689453,21.470911026000977,22.203603744506836,22.022716522216797,22.627416610717773,22.803508758544922,24.18677520751953,25.49509620666504,24.698177337646484,25.298221588134766,26.47640609741211,26.076810836791992,27.073974609375,27.0,28.07133674621582,0.0,27.459060668945312,27.459060668945312,27.658632278442383,27.20294189453125,27.20294189453125,25.63201141357422,25.63201141357422,25.079872131347656,23.25940704345703,22.825424194335938,21.095022201538086,21.63330841064453,20.0,20.0,18.439088821411133,17.029386520385742,16.278820037841797,15.55634880065918,14.142135620117188,13.453624725341797,12.206555366516113,11.661903381347656,11.180339813232422,10.29563045501709,8.5440034866333,9.219544410705566
828289782,2,-52,-98,40,-34,54,10.0,10.816654205322266,12.083045959472656,13.928388595581055,14.560219764709473,16.492422103881836,18.248287200927734,19.10497283935547,20.0,21.0,22.090721130371094,23.194828033447266,23.537202835083008,23.537202835083008,23.76972770690918,25.298221588134766,25.999998092651367,26.4007568359375,26.83281707763672,27.294689178466797,27.784887313842773,27.459060668945312,28.017850875854492,28.60070037841797,28.60070037841797,28.60070037841797,0.0,28.42534065246582,27.658632278442383,27.658632278442383,27.018512725830078,26.248809814453125,26.248809814453125,25.0,24.413110733032227,24.413110733032227,22.472204208374023,21.63330841064453,20.248456954956055,20.248456954956055,18.867961883544922,17.492855072021484,17.0,16.124515533447266,15.65247631072998,14.31782054901123,12.999999046325684,12.083045959472656,11.180339813232422,9.848857879638672,8.5440034866333,8.5440034866333,8.246211051940918
828387643,2,-54,-98,40,-34,56,11.70469856262207,13.601470947265625,13.601470947265625,14.142135620117188,16.124515533447266,16.124515533447266,17.02938461303711,19.0,19.0,19.026296615600586,19.10497283935547,19.416488647460938,19.416488647460938,21.189620971679688,21.189620971679688,20.615528106689453,21.0237979888916,20.59126091003418,21.095022201538086,20.248456954956055,19.416488647460938,20.0,19.84943389892578,19.10497283935547,19.10497283935547,19.10497283935547,0.0,17.69180679321289,16.970561981201172,16.278820037841797,15.55634880065918,15.55634880065918,14.866068840026855,14.142135620117188,14.142135620117188,13.453624725341797,12.806248664855957,12.806248664855957,12.727921485900879,12.806248664855957,12.041595458984375,12.806248664855957,12.206555366516113,11.401754379272461,11.401754379272461,11.401754379272461,12.206555366516113,12.206555366516113,11.661903381347656,12.529964447021484,12.083045959472656,12.999999046325684,13.601470947265625
828398593,2,-54,-98,40,-39,57,18.02775764465332,19.026296615600586,20.09975242614746,20.09975242614746,20.2237491607666,20.2237491607666,22.203603744506836,22.360679626464844,22.360679626464844,23.34523582458496,22.360679626464844,22.56102752685547,22.803508758544922,22.803508758544922,21.840330123901367,23.086793899536133,21.189620971679688,21.189620971679688,20.615528106689453,20.248456954956055,19.313207626342773,18.384775161743164,18.384775161743164,17.0880069732666,17.0880069732666,16.155494689941406,0.0,15.524175643920898,14.560219764709473,14.317821502685547,14.317821502685547,12.16552448272705,11.045360565185547,11.045360565185547,11.045360565185547,11.045360565185547,10.04987621307373,9.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,11.180339813232422,12.16552448272705,13.601470947265625,14.560219764709473,15.231546401977539
828415850,2,-56,-98,40,-38,58,15.65247631072998,16.124515533447266,15.65247631072998,16.552946090698242,17.0,17.464248657226562,17.464248657226562,18.384775161743164,18.973665237426758,18.973665237426758,18.681541442871094,19.64688491821289,19.64688491821289,19.235383987426758,19.235383987426758,18.11077117919922,18.11077117919922,18.02775764465332,17.0,16.0,16.0,16.031219482421875,15.0,15.033296585083008,15.033296585083008,15.0,0.0,14.0,13.0,13.038405418395996,12.041595458984375,11.045360565185547,10.04987621307373,10.04987621307373,10.04987621307373,9.05538558959961,9.05538558959961,8.062257766723633,9.05538558959961,9.05538558959961,9.05538558959961,9.05538558959961,10.0,10.0,10.0,10.0,11.0,11.0,12.041595458984375,13.152946472167969,13.152946472167969,13.341663360595703,14.560219764709473
828427620,2,-56,-98,40,-39,58,13.453624725341797,14.866068840026855,15.620498657226562,16.401220321655273,16.124515533447266,17.0,17.8885440826416,18.384775161743164,18.973665237426758,18.439088821411133,19.235383987426758,19.026296615600586,19.0,18.02775764465332,18.11077117919922,17.262676239013672,17.464250564575195,16.155494689941406,16.552946090698242,16.124515533447266,15.264337539672852,15.811388969421387,16.401220321655273,14.866068840026855,15.55634880065918,15.620498657226562,0.0,13.453624725341797,14.21267032623291,13.453624725341797,12.041595458984375,12.041595458984375,11.313708305358887,10.630146026611328,10.0,10.630146026611328,8.9442720413208,9.486832618713379,8.246211051940918,10.440306663513184,9.05538558959961,10.04987621307373,12.041595458984375,12.0,13.152946472167969,14.560219764709473,14.560219764709473,15.231546401977539,15.65247631072998,16.6433162689209,14.866068840026855,16.278820037841797,16.6433162689209
828442904,2,-55,-98,40,-38,57,16.552946090698242,17.8885440826416,18.867961883544922,19.416488647460938,19.209373474121094,21.21320343017578,21.260292053222656,21.40093421936035,21.954498291015625,22.360679626464844,22.472204208374023,21.587034225463867,22.360679626464844,21.0237979888916,21.0,20.02498435974121,19.10497283935547,19.64688491821289,19.313207626342773,17.464248657226562,17.0,17.20465087890625,17.029386520385742,16.278820037841797,16.278820037841797,16.278820037841797,0.0,14.866068840026855,14.866068840026855,14.866068840026855,12.806248664855957,12.806248664855957,11.401754379272461,10.29563045501709,9.433980941772461,8.9442720413208,8.246211051940918,8.246211051940918,8.062257766723633,8.062257766723633,8.0,8.0,8.062257766723633,10.198039054870605,10.198039054870605,10.770329475402832,11.70469856262207,12.529964447021484,13.03840446472168,14.866068840026855,16.401220321655273,16.124515533447266,17.8885440826416
830026048,2,-57,-98,40,-40,59,13.038405418395996,14.0,14.142135620117188,14.317821502685547,14.866069793701172,15.231546401977539,16.124515533447266,16.401220321655273,16.278820037841797,17.029386520385742,16.6433162689209,17.8885440826416,18.027755737304688,18.439088821411133,18.11077117919922,18.0,18.11077117919922,17.464250564575195,17.0880069732666,16.552946090698242,16.6433162689209,15.620498657226562,15.55634880065918,14.21267032623291,13.601469993591309,13.892443656921387,0.0,12.999999046325684,12.649110794067383,12.369316101074219,12.16552448272705,12.041595458984375,12.0,12.0,11.045360565185547,11.045360565185547,11.180339813232422,10.440306663513184,10.440306663513184,9.848857879638672,9.848857879638672,10.29563045501709,10.816654205322266,11.401754379272461,12.041595458984375,12.041595458984375,12.206555366516113,13.03840446472168,12.529964447021484,12.999999046325684,13.341663360595703,14.03566837310791,14.0
830037907,2,-57,-98,40,-41,60,11.313708305358887,11.401754379272461,12.206555366516113,12.529964447021484,12.999999046325684,13.601470947265625,14.142135620117188,15.0,15.0,15.132745742797852,15.81138801574707,16.155494689941406,16.124515533447266,16.401220321655273,16.278820037841797,16.278820037841797,15.811388969421387,16.552946090698242,16.76305389404297,16.492422103881836,16.124515533447266,16.0,16.031219482421875,15.132745742797852,14.317821502685547,13.928388595581055,0.0,12.083045959472656,12.529964447021484,11.661903381347656,11.401754379272461,10.630146026611328,9.899495124816895,9.899495124816895,8.485280990600586,7.810249328613281,7.810249328613281,6.4031243324279785,6.4031243324279785,6.4031243324279785,5.656854152679443,5.830951690673828,6.4031243324279785,7.810249328613281,7.211102485656738,8.602325439453125,8.602325439453125,9.219544410705566,11.313708305358887,12.041595458984375,12.206555366516113,12.206555366516113,12.529964447021484
830046924,2,-57,-98,40,-39,59,10.816654205322266,10.770329475402832,11.180339813232422,12.0,13.038405418395996,12.369316101074219,13.41640853881836,14.21267032623291,15.620498657226562,16.124515533447266,16.76305389404297,17.11724281311035,17.0,17.262676239013672,17.464248657226562,18.027755737304688,17.69180679321289,18.867961883544922,18.384775161743164,18.439088821411133,18.02775764465332,18.02775764465332,18.439088821411133,17.0880069732666,17.0,16.401220321655273,0.0,14.422204971313477,15.65247631072998,13.601470947265625,14.317821502685547,13.038405418395996,12.0,12.041595458984375,10.198039054870605,9.486832618713379,8.5440034866333,7.6157732009887695,6.70820426940918,5.830951690673828,5.830951690673828,5.830951690673828,5.830951690673828,6.70820426940918,7.211102485656738,8.602325439453125,9.219544410705566,9.899495124816895,10.816654205322266,11.661903381347656,11.70469856262207,13.341663360595703,13.038405418395996
